ID	Topic words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey
2	florida column minnesota superior bay desire spang withkzip toronto makega
3	display windows graphic version file video run window manager color
4	point year good game play team player goal run net
5	max mov main int byte aoj image win allocation offset
6	think believe reason exist way question god mean thing human
7	game team play toronto trade cup chicago lose series montreal
8	keith enclose backing kent blow atheists mathew jon definitely cco
9	people want work think talk year program know new kind
10	msg sensitivity taste russell nye clinic reaction wish patently eau
11	thank advance anybody hello appreciate info recommend email greatly interested
12	window display application file openwindow set color manager lib icon
13	like time know think work need people want look try
14	window windows problem file run program use display manager screen
15	mail price software sale shipping upgrade output complete company access
16	surele misundertanding ryan lousier otherway thatlequant suggeede inlequant newusers allgb
17	dos file windows use run version software allocation cities encyclopedia
18	quebec budget officer wwii british times writer kick mess addition
19	monitor input board switch video offer output audio printer manual
20	treatment food msg sensitivity patient medical doctor effect disease newsgroup
21	max god jesus sin eve salvation wicked spirit judas unto
22	sale forsale setting brand shipping thanks super iii gateway meg
23	sale interested magazine summary sell condition reply mail email engineering
24	use faq brute time mathematical rtfm answer mathematically question expire
25	window color problem mouse try set help switch video screen
26	israel jews state country islamic islam solution right war peace
27	believer atheist atheism counter theist naturally atheists treatise charity den
28	know time tell come like want car look thing help
29	cos theta pole spl sqrt den struct radius ntheta rtheta
30	chip bit key number clipper phone serial encrypt block use
31	address institute mailing technology fax systems commercial development project corp
32	newusers spang achim kck withkzip calpoly tasm dempsey clippingdale elee
33	punishment islam blame continue sexual favor waste practice anecdote islamic
34	use information revised include module section francisco shall application group
35	obvious utterly spang biennial withkzip medina evolutiong makega ryde tierra
36	space available nasa resources ames technology ftp program research data
37	rob newusers achim calpoly kck dempsey elee clippingdale torkel zach
38	min que van tor pit mark virtual bob lang lipman
39	larry kent ithat estination lender minimise allegheny nanci newusers achim
40	team game play april san chicago player won total new
41	den isaiah psalm ntheta sqrt matthew egypt theta radius magicangle
42	delete sink sea clinic james bronx kent sensitivity queens manhattan
43	space year cost mission satellite water large station low power
44	use ibm include software real timer preliminary atmospheric initiate graphic
45	question science think exist non course patient study scientific scientist
46	crude mohammad overlook medina geosphere newusers indivicual achim calpoly revel
47	use new people judas year state nazis jews thing potter
48	economic medina typing gtgx nickname twosey onesy possibility announced discover
49	problem scsi mac fast bad asynchronous interface transfer hardware drive
50	toronto cup montreal red atlanta chicago series houston louis york
51	like people know thing time want israel think try feel
52	use commonly good car time think work need fluid tire
53	counter discourage fulfil forth cast psalm servant isaiah heal encompass
54	medina reading futher aisha newusers lucio achim brainsex calpoly kck
55	car engine buy high price ground service low cheap power
56	application color window display set help visual graphic motif widget
57	engine car ride mile rear buy light condition stick sell
58	play fbi defense team shoot player bad fan report compound
59	use key chip clipper government example algorithm hardware des idea
60	reading mohammad content niether fuer pogue likewise franken newusers hrdb
61	exaggeration medina newusers performer achim kck calpoly dempsey grifter clippingdale
62	policy israel agree marriage man force country sex jerusalem homosexual
63	gun player crime defense criminal team assault score self weapon
64	ftp site anonymous directory archive available information pub source email
65	god believe jesus bible life follow faith christian mean salvation
66	government right case gun clipper control strong people trust state
67	game team great fan run bad play second start win
68	min martin que van sullivan franken pogue mon hrdb medina
69	tseng pds morphology telematic geosphere pre oak revel noterox bubonic
70	musical pogue franken spang hrdb indivicual withkzip soley medina danks
71	exaggeration newusers achim kck calpoly dempsey clippingdale elee torkel zach
72	mon tin indiana presentation newsreader min site anybody visualization seminar
73	mohammad musical individually indivicual unusually cricket microworld artifact art pogue
74	atheist christian belief morality objective interpretation basis religion true theism
75	buy sell manual offer engine original monitor check mile price
76	people old bullet kill child mosque man come evacuate flee
77	drive hard floppy disk scsi mac cable cpu cache motherboard
78	sale sell offer interested condition shipping item stereo manual speaker
79	thu widget faq include read model init particle comp star
80	atheist human christian true religion belief statement sort believe moral
81	turkish genocide long close road turks soviet greek single state
82	card drive problem scsi speed fast bus hard mac local
83	insane preference gtgx twosey exaggeration atheists onesy pogue indivicual franken
84	drive bus card hard cpu controller isa floppy motherboard rom
85	spang withkzip makega newusers futher medina achim dirtym dosgl kck
86	think want president cost question thing money sure know ago
87	sale brand condition projector mnghfnajzjz mlkjzlki mmwmw ahfm working iqrdzk
88	hollywood different hitler god prometheus great religion new people swinburne
89	advance thank character hello convert font simple draw string anybody
90	book article object appreciate post context newsgroup response reply help
91	clipper chip phone key market cheap company algorithm care cost
92	sport adams room michael pat future friend date fly air
93	quick typically christine curcio prohibitive digitizedlength distortedreference medina drawings mounts
94	today dog road ago shoot close ride black child participate
95	jesus god jews coming come rise luke christ apostle promise
96	mohammad medina useless pardon demented grifter athiest propagandistic spang mussolinihomeiniadaffi
97	gun control crime weapon carry criminal right amendment law police
98	thank advance tin newsreader hello convert cica compile terminal email
99	affiliate compete innocence surele misundertanding tabloid pogue franken lousier otherway
