ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly	2.4	2.8	1.8	3	'tin' 'achim' 'withkzip'	3	"[(""'newsreader'"", ""'newsreader'""), (""'newusers'"", ""'newusers'""), (""'plaform'"", ""'platform'"")]"	4	'spang' 'plaform' 'achim' 'withkzip'
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey	2.4	1.8	2.4	0		2	"[(""'spang'"", ""'makega'""), (""'newusers'"", ""'achim'"")]"	0	
2	florida column minnesota superior bay desire spang withkzip toronto makega	2.2	1.6	2.4	3	'spang' 'withkzip' 'makega'	3	"[(""'florida'"", ""'minnesota'""), (""'superior'"", ""'makega'""), (""'bay'"", ""'toronto'"")]"	2	'withkzip' 'makega'
3	display windows graphic version file video run window manager color	2.6	1.6	3.0	0		2	"[(""'display'"", ""'window'""), (""'file'"", ""'version'"")]"	0	
4	point year good game play team player goal run net	2.4	1.8	2.6	0		3	"[(""'game'"", ""'play'""), (""'team'"", ""'player'""), (""'goal'"", ""'run'"")]"	0	
5	max mov main int byte aoj image win allocation offset	2.6	2.0	2.6	0		6	"[(""'max'"", ""'main'""), (""'mov'"", ""'motion'""), (""'int'"", ""'integer'""), (""'byte'"", ""'image'""), (""'aoj'"", ""'allocation'""), (""'offset'"", ""'alignment'"")]"	0	
6	think believe reason exist way question god mean thing human	2.6	1.6	2.8	0		2	"[(""'believe'"", ""'think'""), (""'reason'"", ""'think'"")]"	0	
7	game team play toronto trade cup chicago lose series montreal	2.8	2.4	2.8	0		2	"[(""'game'"", ""'play'""), (""'team'"", ""'series'"")]"	0	
8	keith enclose backing kent blow atheists mathew jon definitely cco	2.2	1.6	2.4	1	'atheists'	2	"[(""'keith'"", ""'kent'""), (""'mathew'"", ""'mat'"")]"	0	
9	people want work think talk year program know new kind	2.8	1.8	2.6	0		5	"[(""'people'"", ""'know'""), (""'work'"", ""'program'""), (""'year'"", ""'new'""), (""'think'"", ""'know'""), (""'talk'"", ""'kind'"")]"	0	
10	msg sensitivity taste russell nye clinic reaction wish patently eau	2.2	1.8	3.0	1	'eau'	6	"[(""'msg'"", ""'message'""), (""'sensitivity'"", ""'sensitivity'""), (""'taste'"", ""'taste'""), (""'russell'"", ""'russell'""), (""'nye'"", ""'nye'""), (""'clinic'"", ""'clinic'"")]"	0	
11	thank advance anybody hello appreciate info recommend email greatly interested	2.8	2.2	3.0	0		2	"[(""'thank'"", ""'appreciate'""), (""'greatly'"", ""'greatly'"")]"	0	
12	window display application file openwindow set color manager lib icon	2.4	2.2	3.0	1	'lib'	3	"[(""'window'"", ""'openwindow'""), (""'display'"", ""'set'""), (""'color'"", ""'icon'"")]"	0	
13	like time know think work need people want look try	2.8	2.0	2.6	0		1	"[(""'know'"", ""'think'"")]"	0	
14	window windows problem file run program use display manager screen	2.6	1.8	3.0	0		6	"[(""'windows'"", ""'window'""), (""'problem'"", ""'program'""), (""'use'"", ""'use'""), (""'display'"", ""'display'""), (""'manager'"", ""'manager'""), (""'screen'"", ""'screen'"")]"	0	
15	mail price software sale shipping upgrade output complete company access	2.4	2.2	2.8	0		3	"[(""'mail'"", ""'access'""), (""'price'"", ""'shipping'""), (""'software'"", ""'complete'"")]"	0	
16	surele misundertanding ryan lousier otherway thatlequant suggeede inlequant newusers allgb	2.2	2.0	2.2	4	'misundertanding' 'thatlequant' 'suggeede' 'allgb'	6	"[(""'surele'"", ""'surele'""), (""'misundertanding'"", ""'misundertanding'""), (""'ryan'"", ""'ryan'""), (""'lousier'"", ""'lousier'""), (""'otherway'"", ""'otherway'""), (""'thatlequant'"", ""'"")]"	5	'misundertanding' 'thatlequant' 'suggeede' 'inlequant' 'allgb'
