ID	Topic words
0	guitar everyday learn yes black school big sugar gym motto
1	smoking gain waste fat ticket lose husband way newyearnewme cookie
2	priority effort lose pound watch realistic moment reality super chicken
3	party fail simply half track better york tall channel idk
4	share star monday tone definitely come effect homeless learn shit
5	fresh family oop spend eve calendar app yesterday healthy rockin
6	stuff pack dick buy adventure music haha attitude goal save
7	completely fake candy begin pop email trust battle deal emotion
8	travel fucking burn draw tattoo internship band course settle delete
9	habit catch season home difference break wife sleep popular healthy
10	chuck paper special lie state lmao watch dead blair netflix
11	control water clothe box physically mentally res read baseball tough
12	fast beat involve able truth advice winter instagram potato twitter
13	mistake meet long accept fuck sorry passion great niggas release
14	house asshole mouth consider little today creative drop free heart
15	ball song weight hear energy toilet believe challenge increase god
16	instead shoe sock treat visit community officially crack rich earth
17	car january complain birthday guy amazing use look laugh bad
18	baby early active bit shoot clear fall gym bullshit goal
19	hashtag week favorite gossip meat reason tonight watch team text
20	open photo problem level block quit publish cup hair film
21	ready complete dance true afraid dad chorgrapher mom god dream
22	cat dog kill choose country friend pretty raise selfie nye
23	past hurt thought cool happiness deep store feeling stress sex
24	suck blame adult rule discover eve chocolate routine studio month
25	hot old online anymore carry zero pic tweet notice fuck
26	organize learn ride code hashtagoftheweek socialmedia tennis emotional patient mess
27	guess matter literally book peace juice responsible drama beer arm
28	win video hang hopefully respect stay episode till friend pass
29	workout limit boyfriend cook got especially foot goals push fear
30	sport night late bible use remove position cliche book lose
31	concert joke quiet mixtape ass volunteer upset master allow help
32	daily support facebook action public planet decide judge create pocket
33	smoke right supper club cigarette focus count accomplish body aim
34	ppl hug remember age place white read eve ahead membership
35	nap forgive forget drunk live number power minute gift encouragement
36	social medium small fitness wrong bring vibe finance booty honest
37	resolutions fit twice fight story breakfast enjoy success bang important
38	wear patience seriously live pant regret excuse connected beautiful kind
39	deserve city add achievable walk return scream purpose kick remind
40	listen relationship realize boss busy learn successful fat strong tell
41	join goal gym feel figure post million genuinely week makeup
42	idea motivation pick vow chance exciting book reach maybe lbs
43	wanna head throw job tweet welcome sit forward culture big
44	face sign youtube apartment budget door career girlfriend include sober
45	pretend finally weed spanish learn confidence sing drinking chicago know
46	game marathon wish reading present memory tix know write actual
47	damn health hoe invite rest send hate vacation check skip
48	bed negative rid avoid task succeed prove unnecessary positive training
49	father proud friend art mix march stick lose grind great
