ID	Topic words
0	performer pimental amusement realityengine meteosat cruel incorporated convolution assertaine multiprocessor
1	christian christians heaven sin love bible easter prayer resurrection christ
2	atf fbi museum terrorism missile enclose surrender affair bosnia backing
3	performer pimental realityengine incorporated abundance meteosat startrek convolution coefficient multiprocessor
4	window application manager display set font motif problem event user
5	ryan prediction talent performer chop cup realityengine multiprocessor pimental thumb
6	display window font thank graphic color screen file advance client
7	team game max player play win cup end fan air
8	presentation seminar authors sphere address warfare presentations byoh shiek visualization
9	ride cool helmet car boom nuclear shift road horse engine
10	team cup fan abc roger toronto player sport game pen
11	graphic graphics thank site gif advance email hello domain location
12	clipper chip phone announcement key white house communication government legal
13	study sensitivity msg food effect headache medical disease cause flavor
14	daily humor promise ignorance kent performer proud pimental realityengine tammy
15	disk file image problem use windows input case model error
16	advance anybody gif viewer thank compile archie indiana download animation
17	gun libertarian economic tax crime sales spending ban amendment legal
18	performer pimental multiprocessor incorporated correspnde smattering realityengine drawings meteosat twosie
19	right law state amendment second use mean government case people
20	buy car monitor printer price manual service wire cheap portable
21	genocide today turks mountain escape shoot single soul population homeland
22	car temperature speed mile time light tire high rotate limit
23	team player game play year good hit win bad fan
24	clinic ussr sensitivity risk resident bush taste concentrate nuclear health
25	jewish university history professor jews stanford century power greek new
26	card monitor chip scsi drive video use mac windows fast
27	gun law file secretly space information san allege year anti
28	isa slot performance board slow upgrade motherboard bus spec cpu
29	god good jesus time man day thing behold betray crucifixion
30	people know time like come right think look tell want
31	god law church islam islamic christ marriage world bosnia jewish
32	morality atheists objective islam islamic keith political moral jon definition
33	use version available machine key bit number write software code
34	drive problem disk hard boot cable scsi quantum error duo
35	chip clipper serial modem bit scsi speed board fast apple
36	god truth argument true believe christians evidence arrogance reason claim
37	game team bob jeff copy gary minnesota john chicago mike
38	performer pimental incorporated smattering realityengine monterey abundance meteosat publically winn
39	card video mouse driver diamond ati ultra switch instal setting
40	gun swinburne christian good problem humanism prometheus like hitler love
41	sale offer sell interested condition shipping price brand forsale trade
42	mail space sci internet news security content faq message key
43	announcement walker systems newsreader corporation clipper shelf tcp corporate lobbying
44	space power use high info include satellite image strategic thrust
45	performer pimental incorporated winn handicap smattering amusement danke laze booboo
46	question god exist religion life believe good use morality thing
47	think year work thank question program need try want government
48	performer pimental incorporated sum smattering undecidable nonexclusive laze mythic realityengine
49	israel peace gun crime control state syria death fbi civilian
