ID	Topic words
0	air trade wave spring ron pool hmmm fairly hot receiver
1	john usa lead baltimore americans good join like cup red
2	king dos master speak illegal bear world family stand library
3	person life rule death kill murder people blame independence liberty
4	think know maybe regard like ask yes people friend good
5	argument quote evidence conclusion true statement logic false imply explain
6	window manager application view basically use button review root windows
7	unit error cross link brad disk serial byte run generate
8	limit use restrict prison multi necessarily probably multiple question know
9	win bank joke wide mix tell contract laugh yes bit
10	canada btw canadian beat channel joe offense like seriously north
11	science blood theory marry strength certain think trace point fantasy
12	president drug congress health history job people world american believe
13	algorithm refer method structure use draw completely copyright reverse region
14	key translation original talk think instead thing david implement write
15	delete improve minor update random surprise immediately imho surprised dictionary
16	problem pro moon mode card recall solve confuse hang plus
17	university research job work committee organization summer material student professor
18	player condition average car pay european excellent sport boy license
19	space earth image nasa launch orbit mission satellite flight datum
20	fan board remove pin spread cool screw heat huh lift
21	power supply display graphic usual backing dump core hard drive
22	radio switch sale sell reasonable audio manual shipping gain use
23	send list mail address request info email net thank post
24	text field share panel item line control eric strange chip
25	day date sit stick success time clock minute wise bat
26	terrorism conference medical abortion final paper movement december daily body
27	pick hudson charge dog newspaper face reach govt eye roger
28	clipper school standard lock disease survivor chip phone color house
29	range blow twice automatic acquire mess choice expensive huge remind
30	command status character loss set register use perform setting sequence
31	card chip use bit mac machine memory video bus software
32	nazi german germany hitler press document party escape magazine write
33	price market tax purchase period warrant japanese staff winner prior
34	man male marriage woman event claim having couple dispute objection
35	look code good somebody like know smith possible use jason
36	tyre light screen movie jose film decline park sleep frame
37	order previous tony know think folk use correct sure like
38	greek east new culture member election reporter english ancient texas
39	dangerous version picture newsreader tin datum accurate insist occur candidate
40	cover care kid private parent home hospital figure like extra
41	car engine owner mile tire replace good hall cup like
42	lose option yesterday west compromise station think significance healthy won
43	group public vote proposal issue continue favor propose belong march
44	plane medium liberal bias score goal bomb point conservative legitimate
45	block eat robert intelligence boot associate disk use equal lucifer
46	piece fit damn suit protection imagine wear like good taste
47	role land learn tool army travel horrible spell music fate
48	max yup von biz gen umm atm ahh end mas
49	relationship quick commitment difference partner security soon concept rob assure
50	sound driver edge feed work quickly tape use affect version
51	step mouse load achieve execute transfer scheme bunch buffer hat
52	stay term repeat think guess know need terminal use let
53	center division reality relate bob draft sick naval regular attend
54	model form key object des use bit age reference value
55	policy race paragraph mistake incident credit shit like kick hear
56	interesting ignore difficult like circuit idea use somewhat personally valuable
57	big suppose prefer lot like know people want think pretty
58	gun war peace weapon shoot defense crime military attack control
59	law government people state right authority moral society human think
60	effect force contact straight sign agreement bet rid like visible
61	senior use official high design low rate section neutral general
62	level white resolution element input signal useful output noise moscow
63	israel jews jesus jewish word man christ come son die
64	program money work think fund russia government support important package
65	new news washington york street media america want post gordon
66	game team play player year run think tough good series
67	turn ride speed left advice traffic road pull time fast
68	country hell yeah letter hope western funny racial selfish people
69	van print ring apart canon rick enjoy initiate proud decent
70	point double den like know use howard radius time sphere
71	service offer monitor suggestion local mike interested good friend like
72	article post jim posting answer faq newsgroup alt news usenet
73	drive quality worth slave track reliable normally quantity hard gee
74	black los happy suspect red employ begin area touch report
75	people gay population genocide government court muslim state army troop
76	information san police anti april california city francisco office group
77	ground box connect current cable wire green fault equipment legal
78	available copy ftp edu file site software include information tie
79	doctor steve common southern cause treatment patient complain separate technology
80	context miss good bush racist jew knowledge eastern fair ignorant
81	attack frank brian hole damage percentage plant uniform declare brown
82	billion increase cost energy dollar pain reduce oil budget reaction
83	homosexual sexual man hate labor zionist history excuse train flame
84	respond doubt propaganda statement star defend ability post critical criticism
85	book count poor read database like thing write use people
86	type record convert manage warning expose use string andrew app
87	year ago curious jordan start like time phone later know
88	people come know tell kill child woman soviet leave live
89	search gov ready connection question literature try know athens quit
90	god christian believe religion church love bible life christians belief
91	know change bother brain use client thank cheap try want
92	morality objective fbi case freedom word discussion define speech value
93	feel notice know question thread brother ask shape like think
94	think know bad tell need remember try story like stop
95	test neighbor recent point use good know reference exactly question
96	publish title wing kent cheer ball michael dan scott wall
97	position water opinion river mention save obvious sorry agree nonsense
98	koresh david gas tape know alternative fool child compound branch
99	apr file receive edt com environment host die math permanent
