text_id	label_id
1	9
2	2
3	5
4	7
5	5
6	9
7	6
8	5
9	5
10	6
11	2
12	9
13	5
14	5
15	2
16	5
17	2
18	2
19	6
20	3
21	5
22	2
23	5
24	2
25	7
26	2
27	5
28	2
29	9
30	5
31	9
32	1
33	6
34	5
35	5
36	9
37	2
38	9
39	9
40	2
41	5
42	9
43	3
44	9
45	5
46	1
47	5
48	5
49	8
50	9
51	7
52	2
53	9
54	2
55	2
56	3
57	6
58	3
59	6
60	2
61	1
62	2
63	2
64	5
65	2
66	5
67	2
68	5
69	5
70	2
71	3
72	8
73	5
74	5
75	2
76	2
77	9
78	2
79	5
80	2
81	5
82	2
83	2
84	3
85	1
86	6
87	9
88	2
89	5
90	4
91	5
92	5
93	5
94	6
95	9
96	10
97	6
98	2
99	5
100	9
101	2
102	5
103	9
104	2
105	9
106	3
107	5
108	1
109	5
110	5
111	6
112	5
113	2
114	9
115	2
116	6
117	2
118	2
119	7
120	5
121	3
122	5
123	9
124	5
125	4
126	5
127	8
128	7
129	5
130	5
131	5
132	2
133	2
134	5
135	5
136	9
137	5
138	2
139	9
140	3
141	5
142	6
143	2
144	2
145	4
146	3
147	6
148	3
149	2
150	6
151	2
152	2
153	5
154	9
155	3
156	5
157	5
158	9
159	3
160	1
161	5
162	5
163	5
164	1
165	5
166	6
167	5
168	5
169	6
170	2
171	5
172	7
173	2
174	9
175	2
176	5
177	3
178	3
179	5
180	5
181	5
182	6
183	2
184	5
185	5
186	5
187	9
188	5
189	5
190	5
191	7
192	6
193	5
194	5
195	6
196	1
197	5
198	9
199	6
200	8
201	5
202	2
203	5
204	9
205	5
206	2
207	5
208	5
209	2
210	2
211	5
212	5
213	6
214	5
215	3
216	5
217	5
218	4
219	2
220	6
221	9
222	9
223	9
224	9
225	5
226	8
227	5
228	5
229	2
230	6
231	5
232	10
233	5
234	2
235	2
236	5
237	1
238	8
239	3
240	2
241	2
242	3
243	5
244	5
245	9
246	6
247	3
248	5
249	1
250	6
251	2
252	5
253	7
254	2
255	9
256	5
257	7
258	1
259	2
260	5
261	9
262	9
263	5
264	2
265	5
266	5
267	9
268	6
269	2
270	6
271	2
272	5
273	5
274	9
275	5
276	9
277	5
278	6
279	5
280	4
281	5
282	6
283	4
284	2
285	2
286	4
287	5
288	5
289	5
290	9
291	9
292	5
293	2
294	2
295	5
296	3
297	9
298	9
299	8
300	9
301	2
302	9
303	5
304	5
305	5
306	5
307	5
308	2
309	2
310	1
311	5
312	2
313	6
314	2
315	2
316	5
317	5
318	5
