ID	Topic words	Coherence	Repetitive	Readability	Number of Outliers	Outliers	Number of Same Concept Pairs	Same Concept Pairs	Number of Non-words	Non-words
0	indecision tin telematic newsreader spang newusers plaform achim withkzip calpoly	1.0	3.0	2.0	2	'spang' 'withkzip'	1	"[(""'newusers'"", ""'withkzip'"")]"	4	'spang' 'plaform' 'achim' 'withkzip'
1	spang withkzip makega dirtym dosgl newusers achim calpoly kck dempsey	1.0	2.8	2.0	4	'dirtym' 'kck' 'dempsey' 'newusers'	2	"[(""'calpoly'"", ""'kck'""), (""'dirtym'"", ""'dempsey'"")]"	5	'spang' 'withkzip' 'makega' 'dirtym' 'dosgl'
2	florida column minnesota superior bay desire spang withkzip toronto makega	2.0	1.8	2.0	4	'desire' 'spang' 'withkzip' 'makega'	2	"[(""'minnesota'"", ""'superior'""), (""'toronto'"", ""'bay'"")]"	3	'withkzip' 'makega' 'spang'
3	display windows graphic version file video run window manager color	3.0	1.2	3.0	2	'run' 'file'	1	"[(""'window'"", ""'windows'"")]"	1	'run'
4	point year good game play team player goal run net	3.0	1.6	3.0	2	'good' 'year'	1	"[(""'game'"", ""'play'"")]"	1	'net'
5	max mov main int byte aoj image win allocation offset	2.0	1.8	2.2	3	'image' 'win' 'aoj'	5	"[(""'max'"", ""'main'""), (""'mov'"", ""'image'""), (""'byte'"", ""'int'""), (""'aoj'"", ""'win'""), (""'allocation'"", ""'offset'"")]"	1	'aoj'
6	think believe reason exist way question god mean thing human	3.0	1.8	3.0	2	'way' 'thing'	2	"[(""'think'"", ""'reason'""), (""'believe'"", ""'god'"")]"	1	'way'
7	game team play toronto trade cup chicago lose series montreal	3.0	1.6	3.0	1	'cup'	3	"[(""'toronto'"", ""'chicago'""), (""'montreal'"", ""'toronto'""), (""'chicago'"", ""'montreal'"")]"	2	'toronto' 'montreal'
8	keith enclose backing kent blow atheists mathew jon definitely cco	1.4	2.8	3.0	4	'blow' 'atheists' 'definitely' 'cco'	2	"[(""'keith'"", ""'kent'""), (""'mathew'"", ""'jon'"")]"	1	'cco'
9	people want work think talk year program know new kind	2.0	2.0	3.0	2	'year' 'program'	0	[]	0	
10	msg sensitivity taste russell nye clinic reaction wish patently eau	2.0	2.0	3.0	4	'nye' 'russell' 'clinic' 'patently'	3	"[(""'taste'"", ""'reaction'""), (""'msg'"", ""'eau'""), (""'russell'"", ""'nye'"")]"	2	'patently' 'eau'
11	thank advance anybody hello appreciate info recommend email greatly interested	2.8	1.8	3.0	3	'anybody' 'hello' 'info'	1	"[(""'hello'"", ""'anybody'"")]"	0	
12	window display application file openwindow set color manager lib icon	3.0	1.4	3.0	3	'file' 'set' 'lib'	1	"[(""'window'"", ""'openwindow'"")]"	1	'openwindow'
13	like time know think work need people want look try	2.8	1.6	3.0	0		2	"[(""'know'"", ""'think'""), (""'need'"", ""'want'"")]"	0	
14	window windows problem file run program use display manager screen	3.0	1.8	3.0	4	'problem' 'file' 'run' 'use'	1	"[(""'window'"", ""'windows'"")]"	1	'run'
15	mail price software sale shipping upgrade output complete company access	3.0	1.4	3.0	0		1	"[(""'sale'"", ""'shipping'"")]"	1	'output'
16	surele misundertanding ryan lousier otherway thatlequant suggeede inlequant newusers allgb	1.0	1.0	1.0	1	'ryan'	3	"[(""'surele'"", ""'suggeede'""), (""'misundertanding'"", ""'inlequant'""), (""'otherway'"", ""'thatlequant'"")]"	9	'surele' 'misundertanding' 'lousier' 'otherway' 'thatlequant' 'suggeede' 'inlequant' 'newusers' 'allgb'
17	dos file windows use run version software allocation cities encyclopedia	2.0	2.0	3.0	2	'cities' 'encyclopedia'	0	[]	1	'dos'
18	quebec budget officer wwii british times writer kick mess addition	2.0	2.0	3.0	3	'kick' 'mess' 'addition'	2	"[(""'british'"", ""'officer'""), (""'wwii'"", ""'british'"")]"	2	'kick' 'mess'
19	monitor input board switch video offer output audio printer manual	3.0	2.0	3.0	2	'manual' 'offer'	0	[]	1	'manual'
20	treatment food msg sensitivity patient medical doctor effect disease newsgroup	3.0	1.6	3.0	3	'food' 'msg' 'newsgroup'	2	"[(""'treatment'"", ""'medical'""), (""'disease'"", ""'sensitivity'"")]"	1	'msg'
21	max god jesus sin eve salvation wicked spirit judas unto	3.0	1.6	3.0	1	'max'	2	"[(""'jesus'"", ""'god'""), (""'eve'"", ""'jesus'"")]"	1	'max'
22	sale forsale setting brand shipping thanks super iii gateway meg	2.0	1.0	2.0	4	'setting' 'thanks' 'super' 'iii'	1	"[(""'sale'"", ""'forsale'"")]"	3	'forsale' 'iii' 'meg'
23	sale interested magazine summary sell condition reply mail email engineering	2.0	1.4	3.0	2	'engineering' 'summary'	1	"[(""'sale'"", ""'sell'"")]"	0	
24	use faq brute time mathematical rtfm answer mathematically question expire	2.0	1.0	3.0	1	'expire'	2	"[(""'rtfm'"", ""'faq'""), (""'mathematical'"", ""'mathematically'"")]"	1	'rtfm'
25	window color problem mouse try set help switch video screen	2.0	2.0	3.0	3	'problem' 'try' 'help'	0	[]	1	'try'
