ID	Topic words
0	time work card need jesus file run write post drive
1	game team year fan score pick cup sport average philadelphia
2	car engine tire ride mov road drive speed gear driver
3	msg patient doctor diet treatment health medicine symptom hospital headache
4	space nasa orbit mission moon satellite solar astronomy project planet
5	clipper key chip algorithm security phone encrypt pgp scheme patent
6	colormap graphic bitmap program visual pixel postscript convert sphinx pixmap
7	israel jews war peace palestinians nazis gaza terrorism syria zionist
8	gun police crime amendment section state semi license violent ban
9	printer deskjet ink laserwriter toner printing laserjet inkjet adobe epson
10	turkish turks genocide soviet massacre population greeks history republic turk
11	disk floppy scsi format error install device dos cdrom external
12	clock risc vram ram simms processor cpu coprocessor quadra pentium
13	windows unix software microsoft version application database toolkit gui mac
14	homosexual homosexuality percentage study orientation heterosexual party church princeton group
15	monitor centris adapter sony atari cable switch fix interference mitsubishi
16	morality moral political objective human omniscient murder absolute jon atheist
17	request mail address junk advertise bounce mailbox usenet company chicago
18	allocation dos windows disk error reboot crash ram sys norton
19	islam islamic qur atheism religion koran allah example marital muslims
20	modem fax cable info send hardware kit gateway warranty supply
21	atheist atheism exist belief religion alt faith universe premise agnostic
22	receiver signal circuit mixer radio input analog meter detect device
23	widget window compile sun display error ipx solaris application openwindow
24	sale rider cover bag strip silver men jazz avenger interested
25	card ati svga screen color speedstar windows vram drivers winmark
26	trial court verdict judge justice cop jury prosecution federal lawyer
27	scsi quadra isa mac interface controller device cpu driver performance
28	fbi koresh compound murder scott survivor documentary news watch investigation
29	church catholic orthodox pope faith doctrine christians bible robertson john
30	newsreader norman frenzy ftpnuz source email forsale nixon author campaign
31	mouse com button driver modem logitech card pin apple fix
32	font panel text type print printer char phonetic mac slant
33	jesus god sin shall faith bible lord paul christian testimony
34	objective morality value subjective observable mathew definition frank freedom theory
35	rushdie islam islamic muslim secular book qur muslims religion mohammed
36	motherboard sale kit bios supply serial connector floppy ram upgrade
37	helmet piece fit ride suit paint want bat protection damage
38	ftp site gateway download zip package sipp freeware unix tutorial
39	truth absolute belief arrogant faith scripture interpretation evangelical blindly deny
40	atf blast compound fbi raid military flame deer initial happen
41	polygon algorithm spline draw triangle delaunay triangulation mesh concave geometric
42	apartment come shout neighbor building kill crowd door live soldier
43	science methodology scientific gene theory study psychology scientist genetically evolution
44	number line telephone ring hook yellow wire device fax caller
45	president job secretary russia senior package congress fund school government
46	mormon jews mormons church persecution joseph worship christian secular authority
47	split newsgroup article alt crossposte sci newgroup news forum read
48	window expose event main handler coordinate button draw rectangle display
49	dos mac price coprocessor cities disk rom modem tech cdrom
50	keyboard key map ctrl accelerator toolkit sparc code widget beep
51	genesis game sega trade games football boy nintendo floppy saver
52	hell eternal heaven god atheist sin resurrection soul bible christians
53	des key shelf machine chip brute cash random verify cheat
54	bus isa controller buffer speed mhz motherboard cache ram performance
55	explode vacuum motor flight explosion engine gas pressure tube impulse
56	sony remote stereo sale receiver cassette car radio speakers vcr
57	sabbath worship paul christian gentiles church commandment israelites scripture jewish
58	government trust communist cop liberty swiss capitalist political civil strong
59	drug cocaine test crack thug survey student crime illegal justify
60	nuclear plant temperature fossil heat pressure island technology contamination oil
61	motif toolkit widget interviews list mailing interface platform api application
62	port parallel printer connect device cable zenith mac soundblaster plug
63	jewish greenberg subject bob steve era ken maddox sherry dave
64	max aoj jurk col airt fil jpbb map gen illusion
65	libertarian employment govt concentrate subject liberty analysis vote majority consensus
66	gif image earth map bump geosphere newspaper terrain gov ames
67	driver blaster stereo mac soundblaster play hardware developer instal quadra
68	marriage marry commitment priest church couple married catholic law love
69	voice modem dsp compression cheap abekas quality hardware software soundblaster
70	powerpc cache card slot macs lcii accelerator cpu upgrade chip
71	boom attack chase road train cow disease intersection shin cage
72	content abc entertainment imaginary grief greeting reader title summary text
73	quicktime video ntsc togb frame mac multimedia hardisk processor software
74	koresh enclose branch sequel cult bible fbi proofreading seven revelation
75	greek contradiction judas archer testament biblical gospel matthew meaning strangle
76	abstinence education rape consent law harassment textbook disgusting license state
77	photography photograph pattern field plate electric physics pictures photo subject
78	rec newsgroup article crossposte automobile posting sport newsletter topic inflammatory
79	tiff philosophical significance complexity lifespan dent universe inability numerology salvageable
80	sphere ellipse circle intersection coplanar polygon pole perpendicular surface solution
81	ground neutral wire panel connect box service electrical ball fault
82	mask paint face tommy logo wear favorite helmet blue nomination
83	joystick int cartridge ram nintendo atari hack extra interrupt hardware
84	lens camera package hotel bag forsale canon case item price
85	software level process flight engineering launch bug management simulation caution
86	tax sales canada spending pay fund dancing prediction plan raise
87	jim herring apology straw argument respond criticize conclusion logic action
88	file byte filemanager window create size setting exe pif group
89	jupiter tom gamma project arizona orbital mayan greek sun artist
90	decoder converter input sample serial mhz resolution datum signal email
91	lobbying organization lobby fishing associate group amendment political action active
92	resurrection impact christians revelation faith believe messiah testament persecution muhammad
93	satellite conference crystal exploration brochure western matt cost plan venture
94	sunset munich discrepancy longitude asimov synchronize daytime orbit hour algorithms
95	duo apple sleep crash ram vendor reset hardware screen faulty
96	easter resurrection testament worship israelites meaning christians baptism german phrasing
97	faq soda posting berkeley monthly info archive associate revision document
98	pirate protection software mode packet hack shareware clone hardware arno
99	ezekiel satan bible king sign angel satanic god church music
100	test testing film message tough concept flame network write use
